编号,今地名,古地名,地点名胜,经度,纬度
62e5fd7cc80545a7d193782e3ab3466e,苏州,江南东道,松江,117.2814280,31.8665676
3f22d9c1144cb52de05fd283a4ed8332,苏州,江南东道,磐石寺,120.5755996,30.1557181
705c8936aa7f8ff9549e5cf65efc247a,苏州市,江南东道,,120.6212881,31.3111230
5a35c98522ad49c835302246d8ef0aa1,苏州,江南东道,楞伽山,120.6212881,31.3111230
d07dad7a5a859dd628f1cd98008612da,苏州,江南东道,南湖,117.2814280,31.8665676
6a337d8cf96cbdbaea50235574e8b7aa,苏州,江南东道,太湖；洞庭山之神景宫、林屋洞、包山精舍、毛公坛、飘渺峰、桃花坞、明月湾、练渎、投龙潭、孤园寺、上真观、销夏湾、包山祠、圣姑庙、崦裹、石板等,120.6212881,31.3111230
a9864a7b6ff01eb47768b54a3fbfe321,苏州,,水陆院,120.7446087,31.2582008
6d279c74c8a5b22644f486a6a55996b0,平望,江南东道,,108.1550000,27.4340000
c637ad1b7d472dd0a738990b4ac2668d,昆山,江南东道,,120.9764683,31.3869323
c36f04d51e7f6962b54e4eeda01b6d1d,昆山,江南东道,惠聚寺,120.9764683,31.3869323
2c58d09331e3b5629780a0dcaad10180,吴江,江南东道,平望驿,119.8128138,31.3633364
443386d1ee1e443fc3453eea61b5cef4,绍兴,江南东道,,120.5768540,29.9992425
3c4577a39b8e342c46ce0b3b6cdb72a5,绍兴,江南东道,禹庙,120.9240579,29.5477028
e1aee8e490723121a53bd1d14d2bc99a,绍兴,江南东道,禹穴、若耶溪,120.5768540,29.9992425
69686ec4efb5ce215b5d8509391eea93,绍兴,江南东道,镜湖,120.5631139,30.0868184
07cf4bb1fe4e536f5b0496ffde82988d,绍兴,江南东道,法华寺,135.7470247,35.0314182
03d8e6a59fb237b6f64e1ed3ae0d575c,绍兴,江南东道,云门寺,120.5768540,29.9992425
f57fef931eacf1ffc50724468a9ce884,绍兴,江南东道,称心寺,134.6802621,34.8406635
5b55e29b6fe23da6e863013240c4239d,绍兴,江南东道,若耶溪,120.5824538,29.9967524
607cfdf2a674f3aad346941f9c662918,绍兴,江南东道,若耶溪、云门寺,120.5768540,29.9992425
109976e8461ee693489dc73cd37360c0,绍兴,江南东道,云门山,120.5768540,29.9992425
d7cca459be425633da66b72ca0f2e124,绍兴,江南东道,大禹寺,116.0093594,28.6141013
b88079a507fa1cb901a00244ae2808c0,绍兴,江南东道,鉴湖,120.4519063,30.0555413
8fc53f13c51d1006ef727b35d7bd92b6,绍兴,,,120.5768540,29.9992425
